Data,Device
668.7659394479074,A
-4.517821782178219,A
719.4427426536065,A
-3.3824182418241833,A
599.6847729296527,A
-4.517821782178219,A
393.7373552983081,A
-4.517821782178219,A
676.6720391807658,A
-5.565886588658866,A
749.2526268922529,A
-4.605160516051606,A
668.8955476402493,A
-5.216531653165317,A
508.95903829029385,A
-4.517821782178219,A
350.44821905609973,A
-5.216531653165317,A
410.9752448797863,A
-1.1989498949895,A
801.0959038290293,A
-1.8976597659765986,A
700.0015138023152,A
-3.9937893789378944,A
676.6720391807658,A
-4.081128112811282,A
631.3091718610864,A
-7.137983798379838,A
692.2250222617988,A
-6.002580258025803,A
502.9970614425646,A
-4.867176717671768,A
427.8243098842387,A
-2.8583858385838594,A
475.7793410507569,A
-6.4392739273927395,A
413.5674087266251,A
-3.5570957095709574,A
694.8171861086375,A
-5.478547854785479,A
493.79487978628674,A
-4.517821782178219,A
630.013089937667,A
-5.391209120912092,A
641.6778272484416,A
-6.4392739273927395,A
282.66313446126446,A
-3.906450645064507,A
694.6875779162956,A
-4.517821782178219,A
