Data,Device
668.7659394479074,A
-4.517821782178219,A
719.4427426536065,A
-3.3824182418241833,A
599.6847729296527,A
-4.517821782178219,A
393.7373552983081,A
-4.517821782178219,A
676.6720391807658,A
-5.565886588658866,A
749.2526268922529,A
-4.605160516051606,A
668.8955476402493,A
-5.216531653165317,A
508.95903829029385,A
-4.517821782178219,A
350.44821905609973,A
-5.216531653165317,A
410.9752448797863,A
-1.1989498949895,A
801.0959038290293,A
-1.8976597659765986,A
700.0015138023152,A
-3.9937893789378944,A
676.6720391807658,A
-4.081128112811282,A
631.3091718610864,A
-7.137983798379838,A
692.2250222617988,A
-6.002580258025803,A
502.9970614425646,A
-4.867176717671768,A
427.8243098842387,A
-2.8583858385838594,A
475.7793410507569,A
-6.4392739273927395,A
413.5674087266251,A
-3.5570957095709574,A
694.8171861086375,A
-5.478547854785479,A
493.79487978628674,A
-4.517821782178219,A
630.013089937667,A
-5.391209120912092,A
641.6778272484416,A
-6.4392739273927395,A
282.66313446126446,A
-3.906450645064507,A
694.6875779162956,A
-4.517821782178219,A
393.7373552983081,A
-2.8583858385838594,A
495.2205699020481,A
-6.788628862886289,A
635.1974176313447,A
-7.4,A
442.0812110418522,A
-1.635643564356437,A
655.8051202137133,A
-6.351935193519353,A
297.1792520035619,A
-3.9937893789378944,A
365.6123775601069,A
-6.613951395139514,A
545.7677649154052,A
-5.827902790279028,A
514.6617987533393,A
-6.08991899189919,A
607.5908726625112,A
-4.517821782178219,A
457.11576135351737,A
-5.129192919291929,A
315.19479073909173,A
-4.517821782178219,A
440.5259127337489,A
-5.478547854785479,A
366.90845948352626,A
-4.1684668466846695,A
361.9833481745325,A
-2.7710471047104717,A
662.4151380231523,A
-3.644434443444345,A
714.1288067675869,A
-4.517821782178219,A
514.6617987533393,A
-4.6924992499249925,A
562.2280053428317,A
-5.653225322532254,A
430.4164737310775,A
-1.1116111611161124,A
746.6604630454141,A
-6.701290129012902,A
326.7299198575245,A
-3.5570957095709574,A
749.2526268922529,A
-0.15088508850885152,A
737.5878895814782,A
-7.050645064506451,A
426.1394033837934,A
-4.517821782178219,A
493.9244879786287,A
0.19846984698469683,A
414.8634906500445,A
-4.867176717671768,A
392.8300979519145,A
-5.303870387038705,A
316.6204808548531,A
-6.264596459645965,A
456.33811219946574,A
-6.4392739273927395,A
804.9841495992875,A
-5.478547854785479,A
631.3091718610864,A
-3.2077407740774087,A
553.5442564559216,A
-4.517821782178219,A
353.94764024933215,A
-4.081128112811282,A
654.6386464826357,A
-7.4,A
329.3220837043633,A
-5.303870387038705,A
644.2699910952805,A
-6.4392739273927395,A
443.37729296527164,A
-1.1989498949895,A
420.0478183437222,A
-3.7317731773177325,A
185.5865983971505,A
-2.683708370837084,A
658.5268922528941,A
-7.050645064506451,A
628.7170080142475,A
-3.7317731773177325,A
226.93161175422978,A
-2.247014701470148,A
455.0420302760463,A
-4.430483048304831,A
781.6546749777383,A
-6.177257725772578,A
457.11576135351737,A
-2.072337233723373,A
591.1306322350846,A
-5.565886588658866,A
531.5108637577916,A
-6.701290129012902,A
521.1422083704364,A
-4.517821782178219,A
457.63419412288516,A
-4.1684668466846695,A
700.0015138023152,A
-6.4392739273927395,A
444.673374888691,A
-4.081128112811282,A
550.9520926090828,A
-0.06354635463546465,A
453.486731967943,A
-1.722982298229824,A
382.4614425645592,A
-3.4697569756975706,A
596.3149599287623,A
-4.081128112811282,A
373.5184772929653,A
-4.517821782178219,A
639.9929207479965,A
-5.216531653165317,A
463.5961709706144,A
-5.740564056405641,A
394.12617987533395,A
-6.4392739273927395,A
398.01442564559215,A
-3.8191119111911203,A
578.1698130008905,A
-5.129192919291929,A
767.3977738201247,A
-3.3824182418241833,A
556.1364203027605,A
-6.264596459645965,A
655.9347284060552,A
-6.963306330633063,A
604.0914514692787,A
-4.867176717671768,A
483.5558325912734,A
-3.8191119111911203,A
487.44407836153164,A
-5.216531653165317,A
658.5268922528941,A
-3.2950795079507955,A
366.90845948352626,A
-6.264596459645965,A
466.706767586821,A
-2.3343534353435356,A
469.29893143365985,A
-5.216531653165317,A
498.8495992876225,A
-4.517821782178219,A
675.3759572573464,A
-6.963306330633063,A
359.13196794300984,A
-4.6924992499249925,A
